,유기번호,품종,나이,체중,특징,특징단어
0,448567202200915,[개] 믹스견,2022(년생),4.3(Kg),L-10-1-22-2 회갈색.,-2 회갈색
1,448567202200914,[개] 믹스견,2022(년생),5(Kg),L-10-1-22-1 갈검색,-1 갈 검색
2,448547202200680,[고양이] 한국 고양이,2022(년생),0.3(Kg),"허피스 감염, 기력 없음",허 피스 감염 기력 없
3,448547202200679,[개] 프렌치 불독,2020(년생),10(Kg),"중성화함, 빨간색 하네스 착용",중성화 빨간색 하 네스 착용
4,448546202200611,[개] 믹스견,2020(년생),3(Kg),"믹스견, 암컷, 검은색과 흰색이 섞여져있음, 약 2살정도, 약 3kg 정도, 사나움",믹스 견 암컷 검은색 흰색 섞이 있음 약 2 살 정도 약 3 정도 사나움
5,448546202200610,[개] 믹스견,2020(년생),3(Kg),"믹스견, 암컷, 검은색과 흰색이 섞여져있음, 약 2살정도, 약 3kg 정도, 사나움",믹스 견 암컷 검은색 흰색 섞이 있음 약 2 살 정도 약 3 정도 사나움
6,448541202201687,[개] 믹스견,2022(년생),3.5(Kg),최근 유기 된듯함 ,최근 유기
7,448541202201686,[개] 믹스견,2017(년생),5(Kg),동네 떠돌이 개,동네 떠돌이 개
8,448541202201685,[개] 믹스견,2022(년생),3.5(Kg),최근 유기 된듯함 ,최근 유기
9,448541202201684,[개] 말티즈,2017(년생),2.5(Kg),최근 유기 된듯함 친숙함,최근 유기 되 친숙
10,448538202200571,[고양이] 한국 고양이,2022(년생),0.6(Kg),검정흰색 생후3주추정,검정 흰색 생후 3 주 추정
11,448537202201232,[고양이] 한국 고양이,2022(년생),1(Kg),뒷다리골절의심,뒷다리 골절 심
12,448537202201231,[고양이] 한국 고양이,2022(년생),0.2(Kg),새끼묘,새끼 묘
13,448533202200674,[고양이] 믹스묘,2022(년생),0.29(Kg),1.5개월 추정(22.10.17.기준),1.5 개월 추정 22.10 17 기준
14,448533202200670,[개] 믹스견,2019(년생),10(Kg),겁이 많음,겁 많
15,448532202200441,[개] 믹스견,2020(년생),25(Kg),"목줄착용, 경계심 심함",목줄 착용 경계심 심
16,448528202201054,[개] 말티즈,2015(년생),3(Kg),"아무것도착용안함, 순함, 내장칩있음 이름: 낭군",아무것 착용 안 순 내장 칩 있음 이름 낭군
17,448528202201053,[개] 푸들,2017(년생),5(Kg),"순함, 말티푸같음, 가슴쪽에 흰털 아주 조금 있음, 뒷다리 한쪽을 딛지 못하고 들고 있고 돌아간 느낌 있음",순 말 같 가슴 희 털 아주 조금 있음 뒷다리 한쪽 딛 들 돌아가 느낌 있음
18,447525202200368,[개] 믹스견,2021(년생),12(Kg),온순하고 친화적,온순 친화
19,447523202200588,[개] 믹스견,2022(년생),1.5(Kg),"오동통한 볼이 매력포인트, 허스키를 닮은 외모, 우주 극강 귀요미. ",오동 통 볼 매력 포인트 허스키 닮 외모 우주 극 강 귀요 미
20,447523202200586,[개] 믹스견,2022(년생),1.5(Kg),"밤톨이, 거무튀튀한 주둥이와 앙 다문 입술이 매력포인트. 깨물어주고 싶은 귀요미 ",밤톨이 거무튀튀 주둥이 다물 입술 매력 포인트 깨물 귀요 미
21,447523202200585,[개] 믹스견,2022(년생),1.5(Kg),"밤톨이, 모히칸처럼 머리중앙만 흰색염색함. 깨물어주고 싶은 귀요미",밤톨이 모히칸 머리 중앙 흰색 염색 깨물 귀요 미
22,447523202200584,[개] 믹스견,2022(년생),6(Kg),겁 많고 소심함. 끝까지 책임 못 질거면 단순히 적적하다는 이유로 무책임하게 키우지마시길.,겁 많 소심 책임 못 질 단순히 적적 하다 이유 무책임하 키우 마시
23,447523202200583,[개] 믹스견,2020(년생),5(Kg),온순하고 수줍게 와서 손길을 받아들임. 너를 버린 주인은 두발 뻗고 잠 못자길 빌게,온순 수줍 오 손길 받아들이 버리 주인 두발 뻗 잠 못 자 빌
