index,유기번호,썸네일,접수일,발견장소,품종,색상,나이,체중,공고번호,공고시작일,공고종료일,이미지,성별,중성화여부,특징,보호소이름,보호소전화번호,보호장소,관할기관,담당자,담당자연락처,특이사항,상태,x,y,SPECIAL_WORD,건강,친화성+,친화성-,친화성+강조,친화성-강조,api_친화성,api_건강점수,1년미만,출생연도,만나이,1년미만_주환산,1년이상_주환산,나이_주환산,체중_숫자,F,M,Q,N,U,Y,군집
0,448528202201142,http://www.animal.go.kr/files/shelter/2022/11/202211061511640_s.jpg,20221106,내서읍 용담리 720,[개] 믹스견,검정,2020(년생),25(Kg),경남-창원2-2022-00301,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061511640.jpg,M,U,"아무것도착용안함, 순둥순둥한데 약간 겁이 있음, 리트리버 믹스같이 생겼음, 귀여움",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701,-,보호중,-,-,아무것 착용 안 순 순 약간 겁 있음 리트 믹스 같이 생기 귀엽,[],"[['아무것도착용안함, 순둥순둥한데 약간 겁이 있음, 리트리버 믹스같이 생겼음, 귀여움']]","[['아무것도착용안함, 순둥순둥한데 약간 겁이 있음, 리트리버 믹스같이 생겼음, 귀여움']]",[],[],0,7,[],2020,2,None,104,104.0,25.0,0,1,0,0,1,0,36
1,447518202200442,http://www.animal.go.kr/files/shelter/2022/11/20221106151163_s.jpg,20221106,경북 영덕군 영해면 예주길 120,[개] 믹스견,흰색,2019(년생),30(Kg),경북-영덕-2022-00315,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/20221106151163.jpg,M,N,온순함,영덕유기동물보호센터,054-730-6286,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,경상북도 영덕군,최부학,054-730-6286,-,보호중,129.357620075975,36.435730961106,온순,[],"[['온순함'], ['온순함']]",[],[],[],2,7,[],2019,3,None,156,156.0,30.0,0,1,0,1,0,0,31
2,447502202201983,http://www.animal.go.kr/files/shelter/2022/11/202211061611246_s.jpg,20221106,경북 포항시 북구 양덕동 장량교차로 인근,[개] 믹스견,황흑,2020(년생),15(Kg),경북-포항-2022-01147,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061611246.jpg,M,N,"목테착용(파란색+검정색),귀옆 귀뒷편 상처있음,사람잘따르고 성격좋음,잘생긴 블랙탄",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,목 테 착용 파 색 검정색 귀 옆 귀 뒷편 상처 있음 사람 잘 따르 성격 좋 잘생기 블랙 타,"[['목테착용(파란색+검정색),귀옆 귀뒷편 상처있음,사람잘따르고 성격좋음,잘생긴 블랙탄']]","[['목테착용(파란색+검정색),귀옆 귀뒷편 상처있음,사람잘따르고 성격좋음,잘생긴 블랙탄']]",[],"[['목테착용(파란색+검정색),귀옆 귀뒷편 상처있음,사람잘따르고 성격좋음,잘생긴 블랙탄']]",[],2,6,[],2020,2,None,104,104.0,15.0,0,1,0,1,0,0,49
3,447502202201982,http://www.animal.go.kr/files/shelter/2022/11/202211061011949_s.jpg,20221106,포항시 북구 죽장면 상옥리 1002-1,[개] 믹스견,백,2020(년생),7(Kg),경북-포항-2022-01146,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061011949.jpg,M,N,"목테목줄착용(고리풀린듯함),소심하나 만질수있음(조용한성격인듯),순하고 몸도깨끗한편,작은진도믹스느낌",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,목 테 목줄 착용 고리 풀리 듯하 소심 만지 있음 조용 성격 순하 몸 깨끗 작 진도 믹스 느낌,[],"[['목테목줄착용(고리풀린듯함),소심하나 만질수있음(조용한성격인듯),순하고 몸도깨끗한편,작은진도믹스느낌']]","[['목테목줄착용(고리풀린듯함),소심하나 만질수있음(조용한성격인듯),순하고 몸도깨끗한편,작은진도믹스느낌']]",[],[],0,7,[],2020,2,None,104,104.0,7.0,0,1,0,1,0,0,4
4,445478202200382,http://www.animal.go.kr/files/shelter/2022/11/202211061411790_s.jpg,20221106,고창군립체육관 앞,[개] 치와와,흰색,2021(년생),3(Kg),전북-고창-2022-00324,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061411790.jpg,F,N,"사람을 잘따름, 분홍색 옷 착용, 믹스추정",더나은동물병원보호소,063-560-2629,전라북도 고창군 무장면 신촌농장길 98  ,전라북도 고창군,김정균,063-560-2629,-,보호중,126.556497672256,35.402411942177,사람 잘 따름 분홍색 옷 착용 믹스 추정,[],"[['사람을 잘따름, 분홍색 옷 착용, 믹스추정']]",[],"[['사람을 잘따름, 분홍색 옷 착용, 믹스추정']]",[],2,7,[],2021,1,None,52,52.0,3.0,1,0,0,1,0,0,29
5,444568202201175,http://www.animal.go.kr/files/shelter/2022/11/202211061511737_s.jpg,20221106,당진시 우강면 당진3거리길 38,[개] 믹스견,흰.갈.검,2019(년생),6.00(Kg),충남-당진-2022-00505,20221106,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211061511737.jpg,F,U,순함,당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4250,-,보호중,126.596263977381,36.9340405332694,순,[],[['순함']],[],[],[],1,7,[],2019,3,None,156,156.0,6.0,1,0,0,0,1,0,13
6,444568202201174,http://www.animal.go.kr/files/shelter/2022/11/20221106151184_s.jpg,20221106,당진시 석문면 대호로 1523,[개] 믹스견,"갈,검,흰",2021(년생),7.50(Kg),충남-당진-2022-00504,20221106,20221115,http://www.animal.go.kr/files/shelter/2022/11/20221106151184.jpg,F,U,순함. 사람 잘 따름,당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4250,-,보호중,126.596263977381,36.9340405332694,순 사람 자,[],"[['순함. 사람 잘 따름'], ['순함. 사람 잘 따름']]",[],[['순함. 사람 잘 따름']],[],3,7,[],2021,1,None,52,52.0,7.5,1,0,0,0,1,0,1
7,443439202200550,http://www.animal.go.kr/files/shelter/2022/11/202211061611831_s.jpg,20221106,충주세계무술공원 (금릉동),[개] 믹스견,흰갈,2019(년생),10(Kg),충북-충주-2022-00308,20221106,20221113,http://www.animal.go.kr/files/shelter/2022/11/202211061611831.jpg,M,N,"겁이조금있으나 순함, 사상충양성",충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,충청북도 충주시,충주시,043-850-5862,-,보호중,127.849752973625,37.0083620808657,겁 조금 있 순하 사상충 양성,"[['겁이조금있으나 순함, 사상충양성'], ['겁이조금있으나 순함, 사상충양성']]","[['겁이조금있으나 순함, 사상충양성']]","[['겁이조금있으나 순함, 사상충양성']]",[],[],0,5,[],2019,3,None,156,156.0,10.0,0,1,0,1,0,0,6
8,443439202200549,http://www.animal.go.kr/files/shelter/2022/11/202211061611331_s.jpg,20221106,서충주 e편한세상 아파트 인근 (중앙탑면),[개] 믹스견,검정,2019(년생),10(Kg),충북-충주-2022-00307,20221106,20221113,http://www.animal.go.kr/files/shelter/2022/11/202211061611331.jpg,M,N,"겁이조금있으나 순함, 사상충음성",충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,충청북도 충주시,충주시,043-850-5862,-,보호중,127.849752973625,37.0083620808657,겁 조금 있 순하 사상충 음성,"[['겁이조금있으나 순함, 사상충음성']]","[['겁이조금있으나 순함, 사상충음성']]","[['겁이조금있으나 순함, 사상충음성']]",[],[],0,6,[],2019,3,None,156,156.0,10.0,0,1,0,1,0,0,30
9,443439202200548,http://www.animal.go.kr/files/shelter/2022/11/202211061511153_s.jpg,20221106,대소원로 121 인근 (대소원면),[개] 요크셔 테리어,갈색,2015(년생),3(Kg),충북-충주-2022-00306,20221106,20221113,http://www.animal.go.kr/files/shelter/2022/11/202211061511153.jpg,F,U,"겁이조금있으나 순함, 사상충음성",충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,충청북도 충주시,충주시,043-850-5862,-,보호중,127.849752973625,37.0083620808657,겁 조금 있 순하 사상충 음성,"[['겁이조금있으나 순함, 사상충음성']]","[['겁이조금있으나 순함, 사상충음성']]","[['겁이조금있으나 순함, 사상충음성']]",[],[],0,6,[],2015,7,None,364,364.0,3.0,1,0,0,0,1,0,26
