"RD_ID","유기번호","접수일","발견장소","품종","색상","나이","체중","상태","성별","중성화여부","특징","썸네일","이미지","공고시작일","공고마감일","기준일자","보호소코드"
2046,441554202201795,"20221107","광주시 신현동 일대","닥스훈트","갈","2022","1.60","보호중","F","N","11-25, 2개월령 아가, 닥스훈트 믹스, 귀엽고 사랑스럽고 천사같은 자매","http://www.animal.go.kr/files/shelter/2022/11/202211071811631[1]_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071811631[1].jpg","20221107","20221117","20221108",48
2047,441554202201796,"20221107","광주시 신현동 일대","닥스훈트","검","2022","2.00","보호중","F","N","11-26, 2개월령 아가, 닥스훈트 믹스, 귀엽고 사랑스럽고 천사같은 자매","http://www.animal.go.kr/files/shelter/2022/11/202211071911712_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071911712.jpg","20221107","20221117","20221108",48
2059,441383202200788,"20221107","안양박달119안전센터에서 인수","시츄","흰갈","2012","9.5","보호중","M","Y","안구돌출,비만,피부병,순함,충혈심함","http://www.animal.go.kr/files/shelter/2022/11/202211071511459_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511459.jpg","20221107","20221117","20221108",40
2060,441383202200789,"20221107","안양시청에서 인수","믹스견","갈","2022","1.5","보호중","F","N","1개월추정,이빨나기시작함,순함,배쪽피부병","http://www.animal.go.kr/files/shelter/2022/11/202211071511834_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511834.jpg","20221107","20221117","20221108",40
2061,441383202200790,"20221107","안양시청에서 인수","믹스견","갈","2022","2","보호중","F","N","1개월추정,순함,비교적몸집이큼,호기심이많음","http://www.animal.go.kr/files/shelter/2022/11/20221107151138_s[1].jpg","http://www.animal.go.kr/files/shelter/2022/11/20221107151138.jpg","20221107","20221117","20221108",40
2062,441383202200791,"20221107","안양시청에서 인수","믹스견","갈","2022","2.3","보호중","M","N","1개월추정,순함,몸집이 제일 큼, 엄살있음","http://www.animal.go.kr/files/shelter/2022/11/202211071511358_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511358.jpg","20221107","20221117","20221108",40
2063,441383202200792,"20221107","안양시청에서 인수","믹스견","갈","2022","2.2","보호중","F","N","1개월추정,순함,고집있음","http://www.animal.go.kr/files/shelter/2022/11/202211071511657_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511657.jpg","20221107","20221117","20221108",40
2064,441403202200627,"20221107","초평동 왕송호수 부근","닥스훈트","갈검","2022","3","보호중","F","U","5개월추정,순함,낯가림","http://www.animal.go.kr/files/shelter/2022/11/202211071511924_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511924.jpg","20221107","20221117","20221108",40
2065,441403202200628,"20221107","의왕 도시농업과에서 인수","믹스견","흰검","2020","6","보호중","F","U","오른쪽뒷다리찢어짐,순함","http://www.animal.go.kr/files/shelter/2022/11/202211071511797_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511797.jpg","20221107","20221117","20221108",40
2066,441383202200844,"20221107","안양시청에서 인수","믹스견","흰","2022","2.3","보호중","F","N","1개월추정,순함,사람좋아함","http://www.animal.go.kr/files/shelter/2022/11/202211080811175_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211080811175.jpg","20221108","20221118","20221108",40
2067,441383202200845,"20221107","안양동1060부근","믹스견","흰갈검","2021","6.5","보호중","M","N","순함,활발함,호기심많음,사람좋아함","http://www.animal.go.kr/files/shelter/2022/11/202211080811414_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211080811414.jpg","20221108","20221118","20221108",40
2068,441404202201166,"20221107","상산곡동129","믹스견","회검","2017","20","보호중","F","N","배회견 엄마","http://www.animal.go.kr/files/shelter/2022/11/202211071611742_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611742.jpg","20221107","20221117","20221108",46
2069,441404202201167,"20221107","상산곡동129","믹스견","검","2022","0.3","보호중","F","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611454_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611454.jpg","20221107","20221117","20221108",46
2070,441404202201168,"20221107","상산곡동129","믹스견","갈검","2022","0.2","보호중","F","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611524_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611524.jpg","20221107","20221117","20221108",46
2071,441404202201169,"20221107","상산곡동129","믹스견","갈검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611799_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611799.jpg","20221107","20221117","20221108",46
2072,441404202201170,"20221107","상산곡동129","믹스견","회검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611134_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611134.jpg","20221107","20221117","20221108",46
2073,441404202201171,"20221107","상산곡동129","믹스견","검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/20221107161144_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/20221107161144.jpg","20221107","20221117","20221108",46
2074,441404202201172,"20221107","상산곡동129","믹스견","회검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611174[1]_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611174[1].jpg","20221107","20221117","20221108",46
2075,441404202201173,"20221107","상산곡동129","믹스견","회검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611262_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611262.jpg","20221107","20221117","20221108",46
2076,441404202201174,"20221107","상산곡동129","믹스견","갈검","2022","0.2","보호중","M","N","젖먹이애기","http://www.animal.go.kr/files/shelter/2022/11/202211071611890_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071611890.jpg","20221107","20221117","20221108",46
2077,442430202200228,"20221107","철원군 와수로 110번길 39-1","믹스견","갈검","2022","1","보호중","F","N","겁이많고 사람을 무서워함(사나움)","http://www.animal.go.kr/files/shelter/2022/11/202211071111520_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071111520.jpg","20221107","20221117","20221108",77
2078,442430202200229,"20221107","철원군 와수로 110번길 39-1","믹스견","갈검","2022","1","보호중","F","N","겁이많고 사람을 무서워함(사나움)","http://www.animal.go.kr/files/shelter/2022/11/202211071111317[1]_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071111317[1].jpg","20221107","20221117","20221108",77
2079,428354202202036,"20221107","부평2동 760-324 301호","푸들","갈","2020","4.4","보호중","F","Y","순하고 예쁨,부착물없음","http://www.animal.go.kr/files/shelter/2022/11/202211071511587_s.jpg","http://www.animal.go.kr/files/shelter/2022/11/202211071511587.png","20221108","20221118","20221108",13
