유기번호,품종,나이,체중,색상,성별,중성화여부,상태,접수일,발견장소,특징,이미지,기준날짜
441406202201352,진도견,2022(60일미만)(년생),2.5(Kg),흰,F,N,보호중,20221109,파두시 와동동 368-14 컨테이너 아래 ,온순함 ,http://www.animal.go.kr/files/shelter/2022/11/202211091511365.jpg,20221110
441399202202704,믹스견,2022(60일미만)(년생),2.2(Kg),갈,F,N,보호중,20221109,금곡동,"어린 강아지 , 갈색 목줄 착용",http://www.animal.go.kr/files/shelter/2022/11/202211091611755.jpg,20221110
441399202202705,믹스견,2017(년생),14.5(Kg),갈,M,N,보호중,20221109,진접읍,초록색 목줄을 착용함.,http://www.animal.go.kr/files/shelter/2022/11/202211092011141.jpg,20221110
441399202202706,믹스견,2019(년생),9.5(Kg),흰,M,N,보호중,20221109,와부읍,목줄없고 온순함.,http://www.animal.go.kr/files/shelter/2022/11/202211092011307.jpg,20221110
441399202202707,믹스견,2019(년생),3.5(Kg),흰,F,U,보호중,20221109,수동면,발을 다？음.,http://www.animal.go.kr/files/shelter/2022/11/202211092011729.jpg,20221110
442422202200418,믹스견,2021(년생),3.00(Kg),흰,M,N,보호중,20221109,함태초등학교 부근,아이보리색,http://www.animal.go.kr/files/shelter/2022/11/202211091111115.jpg,20221110
426336202200611,믹스견,2020(년생),20(Kg),금,M,N,보호중,20221109,강서119,뾰족한 귀,http://www.animal.go.kr/files/shelter/2022/11/202211100811997.jpg,20221110
441553202203042,믹스견,2020(년생),15(Kg),흰,M,N,보호중,20221109,화성소방서남양,"소극적인 성격, 겁 많음,밝은색 코",http://www.animal.go.kr/files/shelter/2022/11/202211090911927.jpg,20221110
441553202203043,믹스견,2021(년생),13(Kg),흰갈,F,U,보호중,20221109,활초리,"갈색얼룩무늬, 순하고 소심한 성격",http://www.animal.go.kr/files/shelter/2022/11/202211090911645.jpg,20221110
441553202203044,믹스견,2021(년생),15(Kg),갈,M,U,보호중,20221109,송산면 고포리 800-1,"빨간색 목띠착용, 아주 밝고 활발한 성격, 웃는상, 가만히 보고있으면 기분이 좋아지는 친구",http://www.animal.go.kr/files/shelter/2022/11/202211090911414.jpg,20221110
441553202203045,믹스견,2022(60일미만)(년생),2(Kg),갈,M,N,보호중,20221109,동부출장소,"2개월추정, 축쳐진 귀, 똘망똘망한 눈빛 ",http://www.animal.go.kr/files/shelter/2022/11/202211090911836.jpg,20221110
441553202203046,말티즈,2019(년생),3(Kg),흰,M,U,보호중,20221109,봉담중심상가,"빨간색 목띠착용, 미용이 잘 되어있음, 칩없음",http://www.animal.go.kr/files/shelter/2022/11/20221109101147.jpg,20221110
441553202203047,믹스견,2022(60일미만)(년생),3(Kg),갈검,M,N,보호중,20221109,팔탄면 율암리 521-1번지,"2개월추정, 포동포동하고 다른친구보다 덩치가 좀 있음",http://www.animal.go.kr/files/shelter/2022/11/20221109101174.jpg,20221110
441553202203048,믹스견,2015(년생),17(Kg),갈,M,U,보호중,20221109,마도면 청원리 384번지,"숨쉬는게 많이 힘들어보임, 심장사상충 또는 기관지에 문제가 있어보임, 움직임 없음",http://www.animal.go.kr/files/shelter/2022/11/202211091011477.jpg,20221110
441553202203049,믹스견,2020(년생),19(Kg),흰갈,M,U,보호중,20221109,팔탄면 창곡리 614번지,"성격이 무척 좋음, 중대형견, 연한 밝은 갈색",http://www.animal.go.kr/files/shelter/2022/11/202211091011190.jpg,20221110
441553202203050,라브라도 리트리버,2020(년생),20(Kg),금,F,U,보호중,20221109, 송산동 송린저수지,"순하고 착함, 낯가림이 있어보이지만 금방 친해짐, 리트리버 믹스",http://www.animal.go.kr/files/shelter/2022/11/202211091011979.jpg,20221110
441553202203051,믹스견,2020(년생),15(Kg),흰,M,N,보호중,20221109,팔탄면,"겁이 많아 경계가 있음, 뾰족한 귀가 특징",http://www.animal.go.kr/files/shelter/2022/11/202211091011349.jpg,20221110
441553202203052,믹스견,2020(년생),16(Kg),흰검,M,U,보호중,20221109,화성시 태안119,"빨간색 목띠착용, 흰양말, 검정색바둑이, 잘생김",http://www.animal.go.kr/files/shelter/2022/11/202211091011116.jpg,20221110
441553202203053,시베리안 허스키,2019(년생),23(Kg),흰검,M,U,보호중,20221109,송산면 육일리 163번지,"파란색 눈, 검정색 목띠, 허락없이 만지는걸 싫어함, 입질주의",http://www.animal.go.kr/files/shelter/2022/11/202211091011593.jpg,20221110
441553202203054,믹스견,2020(년생),15(Kg),흰,M,U,보호중,20221109,매송파출소,"초록색 목띠착용, 다리가 짧음, 검정색 코, 성격이 아주아주 좋고 애교쟁이임,",http://www.animal.go.kr/files/shelter/2022/11/202211091011786.jpg,20221110
441553202203055,믹스견,2021(년생),10(Kg),갈,M,U,보호중,20221109,매송면 천천리 360번지,"짧은털, 겁이 많아 경계가 심함",http://www.animal.go.kr/files/shelter/2022/11/202211091011697.jpg,20221110
441553202203056,믹스견,2022(60일미만)(년생),2(Kg),흰갈,F,N,보호중,20221109,안녕동 동문아파트 뒤쪽,"2개월추정, 갈색바둑이, 발이 작은걸로 봐서 많이 크지 않을것 같다.",http://www.animal.go.kr/files/shelter/2022/11/202211091311668.jpg,20221110
429359202200395,믹스견,2022(년생),4(Kg),갈,F,N,보호중,20221109,동구 장동,22-1142 애정,http://www.animal.go.kr/files/shelter/2022/11/202211091311497.jpg,20221110
429360202200568,믹스견,2022(60일미만)(년생),2(Kg),흰,F,N,보호중,20221109,서구 벽진동,22-1143 유리,http://www.animal.go.kr/files/shelter/2022/11/202211091711237.jpg,20221110
429360202200569,믹스견,2022(60일미만)(년생),2(Kg),갈,F,N,보호중,20221109,서구 벽진동,22-1144 호박,http://www.animal.go.kr/files/shelter/2022/11/202211091711143.jpg,20221110
